Station id,Station name,Date,Number of trips
68,Albertinkatu,2020-03-23,9
68,Albertinkatu,2020-03-24,9
68,Albertinkatu,2020-03-25,19
68,Albertinkatu,2020-03-26,25
68,Albertinkatu,2020-03-27,30
68,Albertinkatu,2020-03-28,26
68,Albertinkatu,2020-03-29,14
68,Albertinkatu,2020-03-30,17
69,Kalevankatu,2020-03-23,0
69,Kalevankatu,2020-03-24,6
69,Kalevankatu,2020-03-25,24
69,Kalevankatu,2020-03-26,25
69,Kalevankatu,2020-03-27,18
69,Kalevankatu,2020-03-28,12
69,Kalevankatu,2020-03-29,23
69,Kalevankatu,2020-03-30,27
70,Sammonpuistikko,2020-03-23,16
70,Sammonpuistikko,2020-03-24,16
70,Sammonpuistikko,2020-03-25,10
70,Sammonpuistikko,2020-03-26,27
70,Sammonpuistikko,2020-03-27,17
70,Sammonpuistikko,2020-03-28,27
70,Sammonpuistikko,2020-03-29,35
70,Sammonpuistikko,2020-03-30,19
71,Hietaniemenkatu,2020-03-23,2
71,Hietaniemenkatu,2020-03-24,7
71,Hietaniemenkatu,2020-03-25,11
71,Hietaniemenkatu,2020-03-26,17
71,Hietaniemenkatu,2020-03-27,14
71,Hietaniemenkatu,2020-03-28,45
71,Hietaniemenkatu,2020-03-29,46
71,Hietaniemenkatu,2020-03-30,27
72,Eteläinen Hesperiankatu,2020-03-23,31
72,Eteläinen Hesperiankatu,2020-03-24,21
72,Eteläinen Hesperiankatu,2020-03-25,32
72,Eteläinen Hesperiankatu,2020-03-26,58
72,Eteläinen Hesperiankatu,2020-03-27,63
72,Eteläinen Hesperiankatu,2020-03-28,56
72,Eteläinen Hesperiankatu,2020-03-29,66
72,Eteläinen Hesperiankatu,2020-03-30,27
73,Kesäkatu,2020-03-23,13
73,Kesäkatu,2020-03-24,14
73,Kesäkatu,2020-03-25,13
73,Kesäkatu,2020-03-26,21
73,Kesäkatu,2020-03-27,10
73,Kesäkatu,2020-03-28,47
73,Kesäkatu,2020-03-29,28
73,Kesäkatu,2020-03-30,9
